Unique ID	Card Identifiers	Set Identifiers	Name	Pitch	Cost	Power	Defense	Health	Intelligence	Rarity	Types	Card Keywords	Abilities and Effects	Ability and Effect Keywords	Granted Keywords	Functional Text	Flavor Text	Type Text	Artists	Card Played Horizontally	Blitz Legal	CC Legal	Commoner Legal	Blitz Living Legend	CC Living Legend	Blitz Banned	CC Banned	Commoner Banned	Blitz Suspended Start	Blitz Suspended End	CC Suspended Start	CC Suspended End	Commoner Suspended Start	Commoner Suspended End	Variations	Image URLs			
PzkDgghmTW7pjqmkf78pD	1HP328, ARC140	1HP, ARC	Reverberate	3	1		3			C, C	Wizard, Action					"Deal 1 arcane damage to target opposing hero.

If Reverberate deals damage, you may banish a Wizard 'non-attack' action card from your hand with {r} cost less than or equal to the damage dealt by Reverberate. If you do, you may play it this turn as though it were an instant."		Wizard Action	Cristián Huerta																S – 1HP328 – N, S R – ARC140 – F, S R – ARC140 – U	https://storage.googleapis.com/fabmaster/media/images/1HP328.width-450.png – 1HP328 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC140.png - ARC140 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC140.png – ARC140 – U			
tkg6zb9DF9bdLTjHk9mHg	1HP329, ARC141	1HP, ARC	Scalding Rain	1	1		3			C, C	Wizard, Action					Deal 4 arcane damage to target hero.		Wizard Action	Igor Heras																S – 1HP329 – N, S R – ARC141 – F, S R – ARC141 – U	https://storage.googleapis.com/fabmaster/media/images/1HP329.width-450.png – 1HP329 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC141.png - ARC141 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC141.png – ARC141 – U			
MqtLcrgFckqQDNcJQBMrk	1HP330, ARC142	1HP, ARC	Scalding Rain	2	1		3			C, C	Wizard, Action					Deal 3 arcane damage to target hero.		Wizard Action	Igor Heras																S – 1HP330 – N, S R – ARC142 – F, S R – ARC142 – U	https://storage.googleapis.com/fabmaster/media/images/1HP330.width-450.png – 1HP330 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC142.png - ARC142 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC142.png – ARC142 – U			
6MwgqKBnL6WG7rzGttqNt	1HP331, ARC143	1HP, ARC	Scalding Rain	3	1		3			C, C	Wizard, Action					Deal 2 arcane damage to target hero.		Wizard Action	Igor Heras																S – 1HP331 – N, S R – ARC143 – F, S R – ARC143 – U	https://storage.googleapis.com/fabmaster/media/images/1HP331.width-450.png – 1HP331 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC143.png - ARC143 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC143.png – ARC143 – U			
Wf9bfdkkmWc666TnwdR8z	1HP338, ARC144	1HP, ARC	Zap	1	0		3			C, C	Wizard, Action					Deal 3 arcane damage to target hero.		Wizard Action	Anastasiya Grintsova																S – 1HP338 – N, S R – ARC144 – F, S R – ARC144 – U	https://storage.googleapis.com/fabmaster/media/images/1HP338.width-450.png – 1HP338 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC144.png - ARC144 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC144.png – ARC144 – U			
kmqQ8LqpB6d7Jbm9nLDbM	1HP339, ARC145	1HP, ARC	Zap	2	0		3			C, C	Wizard, Action					Deal 2 arcane damage to target hero.		Wizard Action	Anastasiya Grintsova																S – 1HP339 – N, S R – ARC145 – F, S R – ARC145 – U	https://storage.googleapis.com/fabmaster/media/images/1HP339.width-450.png – 1HP339 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC145.png - ARC145 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC145.png – ARC145 – U			
7jfwrLTQqghL6WCcj7PBc	1HP340, ARC146	1HP, ARC	Zap	3	0		3			C, C	Wizard, Action					Deal 1 arcane damage to target hero.		Wizard Action	Anastasiya Grintsova																S – 1HP340 – N, S R – ARC146 – F, S R – ARC146 – U	https://storage.googleapis.com/fabmaster/media/images/1HP340.width-450.png – 1HP340 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC146.png - ARC146 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC146.png – ARC146 – U			
8g8N6KcqgwDdkjbnhMBpn	LGS016, LGS041, 1HP335, ARC147	LGS, LGS, 1HP, ARC	Voltic Bolt	1	2		3			P, P, C, C	Wizard, Action					Deal 5 arcane damage to target hero.		Wizard Action	Nathaniel Himawan																S – LGS016 – N – EA, R – LGS041 – N – EA, S – 1HP335 – N, S R – ARC147 – F, S R – ARC147 – U	https://storage.googleapis.com/fabmaster/media/images/LGS016-P.width-450.png – LGS016 – N – EA, https://storage.googleapis.com/fabmaster/media/images/LGS041.width-450.png – LGS041 – N – EA, https://storage.googleapis.com/fabmaster/media/images/1HP335.width-450.png – 1HP335 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC147.png - ARC147 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC147.png – ARC147 – U			
7LPkhMDJgJrMHBRnFMWGN	LGS042, 1HP336, ARC148	LGS, 1HP, ARC	Voltic Bolt	2	2		3			P, C, C	Wizard, Action					Deal 4 arcane damage to target hero.		Wizard Action	Nathaniel Himawan																R – LGS042 – N – EA, S – 1HP336 – N, S R – ARC148 – F, S R – ARC148 – U	https://storage.googleapis.com/fabmaster/media/images/LGS042.width-450.png – LGS042 – N – EA, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC148.png - ARC148 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC148.png – ARC148 – U			
j8BMTGkHTmQBWggdztLcG	LGS043, 1HP337, ARC149	LGS, 1HP, ARC	Voltic Bolt	3	2		3			P, C, C	Wizard, Action					Deal 3 arcane damage to target hero.		Wizard Action	Nathaniel Himawan																R – LGS043 – N – EA, S – 1HP337 – N, S R – ARC149 – F, S R – ARC149 – U	https://storage.googleapis.com/fabmaster/media/images/LGS043.width-450.png – LGS043 – N – EA, https://storage.googleapis.com/fabmaster/media/images/1HP337.width-450.png – 1HP337 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC149.png - ARC149 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC149.png – ARC149 – U			
mdcgw9MLTHcMKJB96LNMG	FAB007, ARC150, EVR154	FAB, ARC, EVR	Arcanite Skullcap				1			P, L, L	Generic, Equipment, Head	Arcane Barrier 3, Battleworn				"If you have less {h} than your opponent, Arcanite Skullcap gains +1{d} and **Arcane Barrier 3**. *(If your hero would be dealt arcane damage, you may pay {r}{r}{r} instead. If you do, prevent 3 arcane damage that source would deal.)*

**Battleworn** *(If you defend with Arcanite Skullcap, put a -1{d} counter on it when the combat chain closes.)*"		Generic Equipment – Head	Anna Kharitonova				No												G – FAB007 – N, C – ARC150 – F, R – ARC150 – U, S – EVR154 – F	https://storage.googleapis.com/fabmaster/media/images/FAB007-P.width-450.png – FAB007 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC150.png - ARC150 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC150.png – ARC150 – U, https://storage.googleapis.com/fabmaster/media/images/EVR154.width-450.png - EVR154 – F			
GdH8FdwFCFQGhMbLq8knc	FAB066, 1HP354, ARC151	FAB, 1HP, ARC	Talismanic Lens				0			P, C, C	Generic, Equipment, Head		Instant	Opt 2		**Instant** - Destroy Talismanic Lens: **Opt 2** *(Look at the top 2 cards of your deck. You may put them on the top and/or bottom in any order.)*		Generic Equipment – Head	J. Sebastián S.C.																G – FAB066 – N, S – 1HP354 – N, S – ARC151 – F, C – ARC151 – F – AT, S R – ARC151 – U	https://storage.googleapis.com/fabmaster/media/images/FAB066.width-450.png – FAB066 – N, https://storage.googleapis.com/fabmaster/media/images/1HP354.width-450.png – 1HP354 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC151.png - ARC151 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC151-CF.png - ARC151 – F – AT, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC151.png – ARC151 – U			
bchkNRKr9TTmDmLGpHLPd	1HP356, ARC152	1HP, ARC	Vest of the First Fist				0			C, C	Generic, Equipment, Chest					When an attack action card you control hits, you may destroy Vest of the First Fist. If you do, gain {r}{r}.		Generic Equipment – Chest	Ironical Ghosty																S – 1HP356 – N, S C – ARC152 – F, S R – ARC152 – U	https://storage.googleapis.com/fabmaster/media/images/1HP356.width-450.png – 1HP356 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC152.png - ARC152 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC152.png – ARC152 – U			
HfGmfBfWWJDCkMGjCdhqN	1HP355, ARC153	1HP, ARC	Bracers of Belief				0			C, C	Generic, Equipment, Arms		Action	Go again		**Action** - Destroy Bracers of Belief: Reveal the top card of your deck. If you do, the next attack action card you play this turn, gains +X{p}, where X is 3 minus the pitch value of the card revealed this way. **Go again** *(The pitch value is located in the top left corner of the card.)*		Generic Equipment – Arms	Pavel Chuvin																S – 1HP355 – N, S – ARC153 – F, C – ARC153 – F – AT, S R – ARC153 – U	https://storage.googleapis.com/fabmaster/media/images/1HP355.width-450.png – 1HP355 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC153.png - ARC153 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC153-CF.png - ARC153 – F – AT, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC153.png – ARC153 – U			
dnNtb9d9C8PpMcPRLLtff	FAB067, 1HP357, ARC154	FAB, 1HP, ARC	Mage Master Boots				0			P, C, C	Generic, Equipment, Legs		Action	Go again	Go again	**Action** - {r}, destroy Mage Master Boots: The next 'non-attack' action card you play this turn gains **go again**. **Go again**		Generic Equipment – Legs	Alexandra Malygina																G – FAB067 – N, S – 1HP357 – N, S C – ARC154 – F, S R – ARC154 – U	https://storage.googleapis.com/fabmaster/media/images/FAB067.width-450.png – FAB067 – N, https://storage.googleapis.com/fabmaster/media/images/1HP357.width-450.png – 1HP357 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC154.png - ARC154 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC154.png – ARC154 – U			
G6ztwPBnhBcGbPPttB7kD	FAB068, 1HP346, ARC155	FAB, 1HP, ARC	Nullrune Hood				0			P, C, C	Generic, Equipment, Head	Arcane Barrier 1				**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay {r} instead. If you do, prevent 1 arcane damage that source would deal.)*		Generic Equipment – Head	Alena Marchenko																G – FAB068 – N, S – 1HP346 – N, S C – ARC155 – F, S R – ARC155 – U	https://storage.googleapis.com/fabmaster/media/images/FAB068.width-450.png – FAB068 – N, https://storage.googleapis.com/fabmaster/media/images/1HP346.width-450.png – 1HP346 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC155.png - ARC155 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC155.png – ARC155 – U			
fHWGT9Rz786nCpCqCbmpw	FAB069, 1HP347, ARC156	FAB, 1HP, ARC	Nullrune Robe				0			P, C, C	Generic, Equipment, Chest	Arcane Barrier 1				**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay {r} instead. If you do, prevent 1 arcane damage that source would deal.)*		Generic Equipment – Chest	Alena Marchenko																G – FAB069 – N, S – 1HP347 – N, S C – ARC156 – F, S R – ARC156 – U	https://storage.googleapis.com/fabmaster/media/images/FAB069.width-450.png – FAB069 – N, https://storage.googleapis.com/fabmaster/media/images/1HP347.width-450.png – 1HP347 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC156.png - ARC156 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC156.png – ARC156 – U			
GDPbPNgkTDhWJnPPhBTfM	FAB070, 1HP348, ARC157	FAB, 1HP, ARC	Nullrune Gloves				0			P, C, C	Generic, Equipment, Arms	Arcane Barrier 1				**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay {r} instead. If you do, prevent 1 arcane damage that source would deal.)*		Generic Equipment – Arms	Pavel Chuvin																G – FAB070 – N, S – 1HP348 – N, S C – ARC157 – F, S R – ARC157 – U	https://storage.googleapis.com/fabmaster/media/images/FAB070.width-450.png – FAB070 – N, https://storage.googleapis.com/fabmaster/media/images/1HP348.width-450.png – 1HP348 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC157.png - ARC157 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC157.png – ARC157 – U			
dT67bg7MNGCkmrJFd7M9G	FAB071, 1HP349, ARC158	FAB, 1HP, ARC	Nullrune Boots				0			P, C, C	Generic, Equipment, Legs	Arcane Barrier 1				**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay {r} instead. If you do, prevent 1 arcane damage that source would deal.)*		Generic Equipment – Legs	Tatiana Trubnikova																G – FAB071 – N, S – 1HP349 – N, S C – ARC158 – F, S R – ARC158 – U	https://storage.googleapis.com/fabmaster/media/images/FAB071.width-450.png – FAB071 – N, https://storage.googleapis.com/fabmaster/media/images/1HP349.width-450.png – 1HP349 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC158.png - ARC158 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC158.png – ARC158 – U			
w7KfkBtqbHrJGtMFJFtkn	1HP360, ARC159	1HP, ARC	Command and Conquer	1	2	6	3			M, M	Generic, Action, Attack					"Defense reaction cards can’t be played to Command and Conquer’s chain link.

If Command and Conquer hits a hero, destroy all cards in their arsenal."		Generic Action – Attack	Fajareka Setiawan				No												S – 1HP360 – N, S R – ARC159 – F, S R – ARC159 – U	https://storage.googleapis.com/fabmaster/media/images/1HP360.width-450.png – 1HP360 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC159.png - ARC159 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC159.png – ARC159 – U			
GfFGBzLQHpfnBqjrPqWtM	1HP366, ARC160	1HP, ARC	Art of War	2	1					M, M	Generic, Instant					"Choose 2;

- Attack action cards you control gain +1{p} and +1{d} this turn.
- The next attack action card you play this turn gains **go again**.
- Until end of turn, you may defend with attack action cards from arsenal.
- You may banish an attack action card from your hand. If you do, draw 2 cards."		Generic Instant	Igor Heras				No												S – 1HP366 – N, S R – ARC160 – F, S R – ARC160 – U	https://storage.googleapis.com/fabmaster/media/images/1HP366.width-450.png – 1HP366 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC160.png - ARC160 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC160.png – ARC160 – U			
JGr6Htgtr867jJFwmntq8	ARC161	ARC	Pursuit of Knowledge	3	2	4	2			S	Generic, Action, Attack					If Pursuit of Knowledge hits, your hero gains +1{i} until end of turn.		Generic Action – Attack	Sooraj Babu				No												S R – ARC161 – F, S R – ARC161 – U	https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC161.png - ARC161 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC161.png – ARC161 – U			
H9QrgKFTPF96NGbgbBmnr	ARC162	ARC	Chains of Eminence	1	0		2			S	Generic, Action, Aura	Go again				"**Go again**

When Chains of Eminence enters the arena, name a card. The named card can't be pitched, played or used to defend while Chains of Eminence is in the arena.

At the beginning of your action phase, destroy Chains of Eminence"		Generic Action – Aura	Nathaniel Himawan				No												S R – ARC162 – F, S R – ARC162 – U	https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC162.png - ARC162 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC162.png – ARC162 – U			
pfJTBWf9fNmGBtDW7GBR6	ARC163	ARC	Rusted Relic	3	0					S	Generic, Action, Item	Arcane Barrier 1				**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay {r} instead. If you do, prevent 1 arcane damage that source would deal.)*		Generic Action – Item	Cristián Huerta				No												S R – ARC163 – F, S R – ARC163 – U	https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC163.png - ARC163 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC163.png – ARC163 – U			
hWbnmwT6Q8kWzndNQDwLH	1HP368, ARC164	1HP, ARC	Life for a Life	1	1	4	2			R, R	Generic, Action, Attack	Go again				"If Life for a Life hits, gain 1{h}.

When you play Life for a Life, if you have less {h} than an opposing hero, it gains **go again**."	“And when I drain the very last drop of blood from your veins, when you struggle to draw breath into your failing lungs… It still won’t be enough.” - Ateia	Generic Action – Attack	Regina Krivolapova				No												S – 1HP368 – N, S R – ARC164 – F, S R – ARC164 – U	https://storage.googleapis.com/fabmaster/media/images/1HP368.width-450.png – 1HP368 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC164.png - ARC164 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC164.png – ARC164 – U			
MDHkKNQqwHfwGHcpQHNqj	1HP369, ARC165	1HP, ARC	Life for a Life	2	1	3	2			R, R	Generic, Action, Attack	Go again				"If Life for a Life hits, gain 1{h}.

When you play Life for a Life, if you have less {h} than an opposing hero, it gains **go again**."	“And when I drain the very last drop of blood from your veins, when you struggle to draw breath into your failing lungs… It still won’t be enough.” - Ateia	Generic Action – Attack	Regina Krivolapova				No												S – 1HP369 – N, S R – ARC165 – F, S R – ARC165 – U	https://storage.googleapis.com/fabmaster/media/images/1HP369.width-450.png – 1HP369 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC165.png - ARC165 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC165.png – ARC165 – U			
nHT6pCgGDBWBcfKbCpg7k	1HP370, ARC166	1HP, ARC	Life for a Life	3	1	2	2			R, R	Generic, Action, Attack	Go again				"If Life for a Life hits, gain 1{h}.

When you play Life for a Life, if you have less {h} than an opposing hero, it gains **go again**."	“And when I drain the very last drop of blood from your veins, when you struggle to draw breath into your failing lungs… It still won’t be enough.” - Ateia	Generic Action – Attack	Regina Krivolapova				No												S – 1HP370 – N, S R – ARC166 – F, S R – ARC166 – U	https://storage.googleapis.com/fabmaster/media/images/1HP370.width-450.png – 1HP370 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC166.png - ARC166 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC166.png – ARC166 – U			
8Bj9qqHW7J9nM6TQFQg9C	1HP375, ARC167	1HP, ARC	Enchanting Melody	1	2		2			R, R	Generic, Action, Aura	Go again				"**Go again**

If your hero would be dealt damage, instead destroy Enchanting Melody and prevent 4 damage that source would deal.

At the beginning of your end phase, destroy Enchanting Melody unless you have played a 'non-attack' action card this turn."		Generic Action – Aura	Cristián Huerta				No												S – 1HP375 – N, S R – ARC167 – F, S R – ARC167 – U	https://storage.googleapis.com/fabmaster/media/images/1HP375.width-450.png – 1HP375 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC167.png - ARC167 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC167.png – ARC167 – U			
fdKLHnF8R67HTB7htQBwd	1HP376, ARC168	1HP, ARC	Enchanting Melody	2	2		2			R, R	Generic, Action, Aura	Go again				"**Go again**

If your hero would be dealt damage, instead destroy Enchanting Melody and prevent 3 damage that source would deal.

At the beginning of your end phase, destroy Enchanting Melody unless you have played a 'non-attack' action card this turn."		Generic Action – Aura	Cristián Huerta				No												S – 1HP376 – N, S R – ARC168 – F, S R – ARC168 – U	https://storage.googleapis.com/fabmaster/media/images/1HP376.width-450.png – 1HP376 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC168.png - ARC168 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC168.png – ARC168 – U			
6tmJzKb6wCP7MNKdfpdNc	1HP377, ARC169	1HP, ARC	Enchanting Melody	3	2		2			R, R	Generic, Action, Aura	Go again				"**Go again**

If your hero would be dealt damage, instead destroy Enchanting Melody and prevent 2 damage that source would deal.

At the beginning of your end phase, destroy Enchanting Melody unless you have played a 'non-attack' action card this turn."		Generic Action – Aura	Cristián Huerta				No												S – 1HP377 – N, S R – ARC169 – F, S R – ARC169 – U	https://storage.googleapis.com/fabmaster/media/images/1HP377.width-450.png – 1HP377 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC169.png - ARC169 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC169.png – ARC169 – U			
PcrcRf9BFhQqGPLwbKnWB	1HP378, ARC170	1HP, ARC	Plunder Run	1	0		2			R, R	Generic, Action	Go again				"The next time an attack action card you control hits this turn, draw a card.

If Plunder Run is played from arsenal, the next attack action card you play this turn gains +3{p}.

**Go again**"		Generic Action	Immanuela Crovius				No				2022-01-17T00:00:00.000Z								S – 1HP378 – N, S R – ARC170 – F, S R – ARC170 – U	https://storage.googleapis.com/fabmaster/media/images/1HP378.width-450.png – 1HP378 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC170.png - ARC170 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC170.png – ARC170 – U			
RmQTL7LpGphmFMC9qGQGz	1HP379, ARC171	1HP, ARC	Plunder Run	2	0		2			R, R	Generic, Action	Go again				"The next time an attack action card you control hits this turn, draw a card.

If Plunder Run is played from arsenal, the next attack action card you play this turn gains +2{p}.

**Go again**"		Generic Action	Immanuela Crovius				No				2022-01-17T00:00:00.000Z								S – 1HP379 – N, S R – ARC171 – F, S R – ARC171 – U	https://storage.googleapis.com/fabmaster/media/images/1HP379.width-450.png – 1HP379 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC171.png - ARC171 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC171.png – ARC171 – U			
KRQQrMf9rg68LGW6f6wpz	1HP380, ARC172	1HP, ARC	Plunder Run	3	0		2			R, R	Generic, Action	Go again				"The next time an attack action card you control hits this turn, draw a card.

If Plunder Run is played from arsenal, the next attack action card you play this turn gains +1{p}.

**Go again**"		Generic Action	Immanuela Crovius				No				2022-01-17T00:00:00.000Z								S – 1HP380 – N, S R – ARC172 – F, S R – ARC172 – U	https://storage.googleapis.com/fabmaster/media/images/1HP380.width-450.png – 1HP380 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC172.png - ARC172 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC172.png – ARC172 – U			
9WNdfN9FKGr9f6KhchfTG	1HP384, ARC173	1HP, ARC	Eirina’s Prayer	1	1					R, R	Generic, Instant					Reveal the top card of your deck. Prevent the next X arcane damage that would be dealt to your hero this turn, where X is 6 minus the pitch value of the card revealed this way. *(The pitch value is located in the top left corner of the card.)*		Generic Instant	Reza Afshar				No												S – 1HP384 – N, S – ARC173 – F, R – ARC173 – F – AT, S R – ARC173 – U	https://storage.googleapis.com/fabmaster/media/images/1HP384.width-450.png – 1HP384 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC173.png - ARC173 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC173-RF.png - ARC173 – F – AT, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC173.png – ARC173 – U			
hcRGNHrrBfMkBKjdpnbd9	1HP385, ARC174	1HP, ARC	Eirina’s Prayer	2	1					R, R	Generic, Instant					Reveal the top card of your deck. Prevent the next X arcane damage that would be dealt to your hero this turn, where X is 5 minus the pitch value of the card revealed this way. *(The pitch value is located in the top left corner of the card.)*		Generic Instant	Reza Afshar				No												S – 1HP385 – N, S – ARC174 – F, R – ARC174 – F – AT, S R – ARC174 – U	https://storage.googleapis.com/fabmaster/media/images/1HP385.width-450.png – 1HP385 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC174.png - ARC174 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC174-RF.png - ARC174 – F – AT, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC174.png – ARC174 – U			
QFmWnBgdHhhbFj9JmNtpr	1HP386, ARC175	1HP, ARC	Eirina’s Prayer	3	1					R, R	Generic, Instant					Reveal the top card of your deck. Prevent the next X arcane damage that would be dealt to your hero this turn, where X is 4 minus the pitch value of the card revealed this way. *(The pitch value is located in the top left corner of the card.)*		Generic Instant	Reza Afshar				No												S – 1HP386 – N, S – ARC175 – F, R – ARC175 – F – AT, S R – ARC175 – U	https://storage.googleapis.com/fabmaster/media/images/1HP386.width-450.png – 1HP386 – N, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC175.png - ARC175 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC175-RF.png - ARC175 – F – AT, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC175.png – ARC175 – U			
88FKwBcKjDqGnzfKfkjPn	ARC176	ARC	Back Alley Breakline	1	1	5	2			C	Generic, Action, Attack					If an activated ability or action card effect puts Back Alley Breakline face up into a zone from your deck, gain 1 action point.	“This is going to hurt your wallet more than your arm.” - Doctor Mortimer, ‘The Fixer’	Generic Action – Attack	Pavel Chuvin																S R – ARC176 – F, S R – ARC176 – U	https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC176.png - ARC176 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC176.png – ARC176 – U			
CKmLcfFpBdCFW67NHdNnP	ARC177	ARC	Back Alley Breakline	2	1	4	2			C	Generic, Action, Attack					If an activated ability or action card effect puts Back Alley Breakline face up into a zone from your deck, gain 1 action point.	“This is going to hurt your wallet more than your arm.” - Doctor Mortimer, ‘The Fixer’	Generic Action – Attack	Pavel Chuvin																S R – ARC177 – F, S R – ARC177 – U	https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC177.png - ARC177 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC177.png – ARC177 – U			
6drgkTzwgMBMWdg9CPz8M	ARC178	ARC	Back Alley Breakline	3	1	3	2			C	Generic, Action, Attack					If an activated ability or action card effect puts Back Alley Breakline face up into a zone from your deck, gain 1 action point.	“This is going to hurt your wallet more than your arm.” - Doctor Mortimer, ‘The Fixer’	Generic Action – Attack	Pavel Chuvin																S R – ARC178 – F, S R – ARC178 – U	https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC178.png - ARC178 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC178.png – ARC178 – U			
TKDqG8ncRwnbqQWPHtWCJ	ARC179	ARC	Cadaverous Contraband	1	2	6	2			C	Generic, Action, Attack					If Cadaverous Contraband hits, you may put a ‘non-attack’ action card from your graveyard on top of your deck.		Generic Action – Attack	Alexey Peregrudov																S R – ARC179 – F, S R – ARC179 – U	https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC179.png - ARC179 – F, https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC179.png – ARC179 – U			
